"PROBE_ID"	"Symbol"
"1"	"ILMN_1789991"	"4-Mar"
"2"	"ILMN_1897741"	"6-Mar"
"3"	"ILMN_1746673"	"3-Sep"
"4"	"ILMN_1776157"	"4-Sep"
"5"	"ILMN_1789627"	"5-Sep"
"6"	"ILMN_1769118"	"9-Sep"
"7"	"ILMN_1788778"	"11-Sep"
"8"	"ILMN_1886719"	"11-Sep"
"9"	"ILMN_1662364"	"AARS"
"10"	"ILMN_1677814"	"ABCC3"
"11"	"ILMN_1745116"	"ABHD12"
"12"	"ILMN_1801767"	"ABHD3"
"13"	"ILMN_1655702"	"ABHD5"
"14"	"ILMN_1713732"	"ABL1"
"15"	"ILMN_1761058"	"ACAD11"
"16"	"ILMN_2225595"	"ACAD8"
"17"	"ILMN_2371379"	"ACLY"
"18"	"ILMN_1750800"	"ACO1"
"19"	"ILMN_1654861"	"ACO2"
"20"	"ILMN_1764321"	"ACOT4"
"21"	"ILMN_2332250"	"ACOT7"
"22"	"ILMN_1685703"	"ACOX2"
"23"	"ILMN_1684585"	"ACSL1"
"24"	"ILMN_1704961"	"ACTG1"
"25"	"ILMN_3236904"	"ACTG1P4"
"26"	"ILMN_2232177"	"ACTN1"
"27"	"ILMN_1725534"	"ACTN4"
"28"	"ILMN_1657153"	"ACTR3"
"29"	"ILMN_2152711"	"ACVR2A"
"30"	"ILMN_1670912"	"ACVR2A"
"31"	"ILMN_3250257"	"ACVRL1"
"32"	"ILMN_2158705"	"ACYP2"
"33"	"ILMN_1673566"	"ADAMTS1"
"34"	"ILMN_2047511"	"ADAP1"
"35"	"ILMN_2320964"	"ADAR"
"36"	"ILMN_1776777"	"ADAR"
"37"	"ILMN_1814526"	"ADD3"
"38"	"ILMN_1738604"	"ADH5"
"39"	"ILMN_2092664"	"ADSS"
"40"	"ILMN_1775235"	"AFF3"
"41"	"ILMN_2402766"	"AFTPH"
"42"	"ILMN_1714567"	"AHNAK"
"43"	"ILMN_1703617"	"AHSA1"
"44"	"ILMN_3246401"	"AIF1L"
"45"	"ILMN_1770725"	"AIF1L"
"46"	"ILMN_1673252"	"AIMP2"
"47"	"ILMN_1687275"	"AJUBA"
"48"	"ILMN_2359029"	"AKIP1"
"49"	"ILMN_1670870"	"ALCAM"
"50"	"ILMN_1709348"	"ALDH1A1"
"51"	"ILMN_2096372"	"ALDH1A1"
"52"	"ILMN_2150894"	"ALDH1B1"
"53"	"ILMN_1728662"	"ALDH3B1"
"54"	"ILMN_1687508"	"ALDH7A1"
"55"	"ILMN_1811238"	"ALPK2"
"56"	"ILMN_1779374"	"AMMECR1"
"57"	"ILMN_2294762"	"AMY1A"
"58"	"ILMN_1726327"	"AMY1B"
"59"	"ILMN_1663313"	"AMY1C"
"60"	"ILMN_1677723"	"ANGPT1"
"61"	"ILMN_2086890"	"ANGPT1"
"62"	"ILMN_1707727"	"ANGPTL4"
"63"	"ILMN_1794470"	"ANKFY1"
"64"	"ILMN_1716264"	"ANKRD1"
"65"	"ILMN_1689908"	"ANKRD13A"
"66"	"ILMN_2232520"	"ANKRD28"
"67"	"ILMN_1684293"	"ANP32B"
"68"	"ILMN_1811877"	"ANTXR1"
"69"	"ILMN_2184184"	"ANXA1"
"70"	"ILMN_1755937"	"ANXA2"
"71"	"ILMN_1711899"	"ANXA2"
"72"	"ILMN_2409167"	"ANXA2"
"73"	"ILMN_1698100"	"ANXA2P1"
"74"	"ILMN_2326591"	"ANXA6"
"75"	"ILMN_1678612"	"ANXA6"
"76"	"ILMN_1703791"	"ANXA7"
"77"	"ILMN_1676946"	"AP3M2"
"78"	"ILMN_1801710"	"APBB1IP"
"79"	"ILMN_1740772"	"APBB3"
"80"	"ILMN_1689431"	"APCDD1L"
"81"	"ILMN_1723522"	"APOLD1"
"82"	"ILMN_1777483"	"APOOL"
"83"	"ILMN_1765076"	"APPL2"
"84"	"ILMN_1767351"	"AR"
"85"	"ILMN_1732060"	"ARHGAP1"
"86"	"ILMN_1791186"	"ARHGAP18"
"87"	"ILMN_1811592"	"ARHGAP21"
"88"	"ILMN_1676361"	"ARHGAP22"
"89"	"ILMN_1801833"	"ARHGAP24"
"90"	"ILMN_2290204"	"ARHGAP28"
