Symbol	exp_change
A2M	-1
ABCA1	0.333333333
ABCA7	1
ABCC3	-1
ABCC4	-1
ABCG1	1
ABI1	-1
ABL1	-1
ABP1	-1
ACAA1	1
ACD	1
ACE	1
ACLY	0
ACTB	-1
ACTG1	-1
ACTN1	-1
ACTN2	-1
ACTN4	-1
ACTR1A	1
ACTR2	-0.5
ACTR3	-0.5
ACVR2B	1
ADA	0.5
ADM	1
ADORA1	-1
AGA	-1
AGK	0
AGT	1
AHSG	0
AKAP12	-1
AKT1	-1
AKT2	-1
AKTIP	1
ALDH3B1	-1
ALDOA	-0.5
ALDOC	-0.333333333
ALG2	1
ALKBH5	-1
ALS2	-1
AMPD3	-1
AMPH	-1
ANKFY1	-1
ANKRD28	-0.333333333
ANO6	-1
ANPEP	-1
ANXA1	-0.5
ANXA11	1
ANXA2	-1
ANXA3	1
ANXA5	-0.5
AP1AR	1
AP1G1	1
AP1S1	0.333333333
AP2M1	-1
AP2S1	-1
AP3B1	-1
AP3S1	-1
AP4B1	0
APLP1	1
APLP2	0
APOB	-1
APOE	1
APOH	1
APP	-1
APPBP2	-0.333333333
APPL2	-1
ARAP3	-1
ARCN1	-1
ARF3	0
ARF4	-0.5
ARF5	1
ARF6	-1
ARFGAP1	-1
ARFGAP2	-1
ARFGAP3	-1
ARFIP1	-1
ARHGAP21	-0.5
ARHGAP9	1
ARHGEF2	1
ARL1	-1
ARPC1A	-1
ARPC1B	-1
ARPC2	-0.5
ARPC3	-1
ARPC4	-1
ARPC5	-1
ARRB2	1
ASAH1	1
ATAD3B	1
ATG14	-1
ATP11B	0
ATP2A2	0
ATP5A1	1
ATP5B	1
ATP5F1	1
ATP5G1	1
ATP5H	1
ATP6V1H	1
ATP7A	1
ATPBD1B	-1
AXL	-1
B2M	0
B4GALT1	-1
BAIAP2	-1
BANF1	-1
BCL3	0
BCL6	1
BDKRB2	-1
BECN1	-1
BET1L	-1
BLOC1S3	-1
BLZF1	-1
BNIP1	-0.333333333
BRPF3	-0.333333333
BRSK1	1
BRSK2	1
BST1	-1
BST2	-1
BTN3A2	-1
C1QTNF5	-1
C3	-1
CA2	1
CAB39	-1
CALCRL	1
CALR	0
CAMK2G	-1
CAND1	0
CANT1	0
CANX	0
CAP1	-0.5
CAPN1	-1
CAPZA1	-0.5
CAPZA2	-1
CAPZB	-1
CASK	-1
CAT	-0.5
CAV1	-1
CAV2	-1
CCDC91	-1
CCL5	-1
CCL8	-1
CCND1	-1
CCRL1	-1
CCT8	1
CD109	-0.5
CD24	1
CD44	-1
CD47	1
CD55	1
CD58	0
CD59	-1
CD63	-0.5
CD68	-1
CD81	-1
CD9	0.5
CD97	0
CDA	-1
CDC37	-1
CDC37L1	-1
CDC42	-1
CDC42SE2	-1
CDK5	1
CDO1	1
CEACAM1	-0.333333333
CHCHD4	0.5
CHID1	0
CHMP2A	-1
CHMP4B	-1
CHMP4C	1
CHMP5	-1
CKAP4	-1
CKLF	0.333333333
CLASP1	-1
CLASP2	-1
CLINT1	-0.5
CLIP1	-1
CLN3	1
CLN5	1
CLTA	1
CLTB	1
CLU	-1
CMTM6	-1
CNIH2	1
CNIH4	1
CNN2	-1
COG1	0
COG4	1
COG6	-1
COL4A3BP	1
COL7A1	-1
COLEC12	-1
COPA	-0.5
COPB1	-0.5
COPB2	-0.5
COPG	-0.5
COPG2	1
COPZ2	-1
CORO1A	1
CORO1C	-1
CORO7	1
COTL1	-1
COX5B	1
CPNE3	-1
CPT1A	1
CPT2	1
CREB1	-0.333333333
CREB3L2	-1
CRISPLD2	-1
CRK	-1
CSNK1E	-0.333333333
CSNK1G2	-1
CST3	-1
CTGF	-1
CTSA	0
CTSB	-0.5
CTSC	0
CTSD	1
CTSH	1
CTSS	-1
CTTN	-1
CXCL16	1
CXCR7	-1
CYB5R1	-1
CYB5R3	-0.5
CYBA	-0.333333333
CYC1	1
CYFIP1	-1
CYFIP2	0.333333333
CYTH2	-1
CYTH3	-1
DAB2	-1
DBNL	-1
DCTN1	-0.5
DCTN4	-0.333333333
DDOST	0
DDX39	1
DDX39A	1
DEGS1	-0.5
DENND5A	-0.333333333
DERL1	-0.5
DIAPH1	1
DLC1	-1
DMC1	-1
DNAJC13	-0.5
DNAJC3	0
DNASE1L1	-1
DNM1	-1
DNM1L	-1
DOCK1	-1
DOCK7	-0.5
DOPEY2	-0.333333333
DPP7	0.5
DPY30	1
DPYSL2	-0.5
DSC1	-1
DSG1	-1
DSP	-1
DST	-1
DTX3L	-1
DVL1	-1
DYNC1LI2	-1
