PROBE_ID	Symbol
ILMN_1799106	1-Mar
ILMN_1665775	2-Mar
ILMN_1789991	4-Mar
ILMN_1897741	6-Mar
ILMN_1757106	6-Mar
ILMN_1717337	7-Mar
ILMN_1748546	2-Sep
ILMN_2365711	2-Sep
ILMN_1746673	3-Sep
ILMN_1659953	3-Sep
ILMN_1776157	4-Sep
ILMN_2402172	4-Sep
ILMN_1789627	5-Sep
ILMN_1729019	7-Sep
ILMN_1769118	9-Sep
ILMN_2343757	10-Sep
ILMN_1691864	10-Sep
ILMN_1788778	11-Sep
ILMN_1886719	11-Sep
ILMN_2407082	15-Sep
ILMN_1745607	A2M
ILMN_1688755	AAK1
ILMN_1779163	AAMDC
ILMN_1662364	AARS
ILMN_2096191	AASDHPPT
ILMN_1698189	AASDHPPT
ILMN_1678323	AASS
ILMN_2157219	AASS
ILMN_1758523	ABCA3
ILMN_1665730	ABCB10
ILMN_1687840	ABCB7
ILMN_1802404	ABCC1
ILMN_1677814	ABCC3
ILMN_2194009	ABCC4
ILMN_1788457	ABCC4
ILMN_1676846	ABCE1
ILMN_1794782	ABCG1
ILMN_1779470	ABCG4
ILMN_1745116	ABHD12
ILMN_2318685	ABHD12
ILMN_2227533	ABHD14B
ILMN_2152402	ABHD16A
ILMN_1801767	ABHD3
ILMN_1655702	ABHD5
ILMN_1706344	ABHD6
ILMN_1712707	ABHD8
ILMN_2329958	ABI1
ILMN_1673639	ABI3BP
ILMN_1713732	ABL1
ILMN_1657870	ABL2
ILMN_2240003	ABL2
ILMN_1785424	ABLIM1
ILMN_2396672	ABLIM1
ILMN_1660199	ACAA2
ILMN_1761058	ACAD11
ILMN_2225595	ACAD8
ILMN_1778104	ACADM
ILMN_1795104	ACADS
ILMN_1806408	ACADVL
ILMN_2352009	ACADVL
ILMN_2263466	ACADVL
ILMN_1800008	ACAT1
ILMN_1708672	ACAT2
ILMN_2133799	ACAT2
ILMN_1665945	ACBD3
ILMN_2371379	ACLY
ILMN_1749014	ACLY
ILMN_1771348	ACN9
ILMN_2134039	ACN9
ILMN_1750800	ACO1
ILMN_1654861	ACO2
ILMN_1715543	ACOT1
ILMN_1739594	ACOT11
ILMN_2098743	ACOT13
ILMN_1716237	ACOT2
ILMN_1764321	ACOT4
ILMN_2332250	ACOT7
ILMN_1740265	ACOT7
ILMN_2367070	ACOT9
ILMN_1750158	ACOX1
ILMN_1685703	ACOX2
ILMN_1666690	ACRC
ILMN_3236756	ACSF2
ILMN_1711928	ACSF2
ILMN_1684585	ACSL1
ILMN_1683598	ACSL4
ILMN_1671703	ACTA2
ILMN_1777296	ACTB
ILMN_2038777	ACTB
ILMN_2152131	ACTB
ILMN_1658660	ACTC1
ILMN_1704961	ACTG1
ILMN_2053178	ACTG1
ILMN_3236904	ACTG1P4
ILMN_1795325	ACTG2
ILMN_2232177	ACTN1
ILMN_1725534	ACTN4
ILMN_1695821	ACTR1B
ILMN_2388605	ACTR2
ILMN_1657153	ACTR3
