PROBE_ID	Symbol
ILMN_1789991	4-Mar
ILMN_1897741	6-Mar
ILMN_1769118	9-Sep
ILMN_1788778	11-Sep
ILMN_1662364	AARS
ILMN_1766054	ABCA1
ILMN_1677814	ABCC3
ILMN_1651964	ABCC5
ILMN_1801767	ABHD3
ILMN_1713732	ABL1
ILMN_1802096	ABTB1
ILMN_1772123	ACACA
ILMN_1761058	ACAD11
ILMN_1806408	ACADVL
ILMN_2371379	ACLY
ILMN_1750800	ACO1
ILMN_1704961	ACTG1
ILMN_3236904	ACTG1P4
ILMN_2232177	ACTN1
ILMN_1657153	ACTR3
ILMN_2152711	ACVR2A
ILMN_3250257	ACVRL1
ILMN_1673566	ADAMTS1
ILMN_1681886	ADAMTS5
ILMN_2047511	ADAP1
ILMN_3247424	ADAP1
ILMN_2320964	ADAR
ILMN_1814526	ADD3
ILMN_2311278	ADD3
ILMN_1708934	ADM
ILMN_1702933	ADM2
ILMN_1811480	ADPRHL2
ILMN_1775235	AFF3
ILMN_1730504	AGPAT4
ILMN_1714567	AHNAK
ILMN_3246401	AIF1L
ILMN_1673252	AIMP2
ILMN_1687275	AJUBA
ILMN_2396956	AKAP13
ILMN_1752988	AKIP1
ILMN_1770673	AKNA
ILMN_1670870	ALCAM
ILMN_1709348	ALDH1A1
ILMN_2096372	ALDH1A1
ILMN_2150894	ALDH1B1
ILMN_1728662	ALDH3B1
ILMN_1763461	ALDH7A1
ILMN_1687508	ALDH7A1
ILMN_1761804	ALDH9A1
ILMN_1811238	ALPK2
ILMN_2294762	AMY1A
ILMN_1726327	AMY1B
ILMN_1663313	AMY1C
ILMN_1801606	AMZ2
ILMN_1677723	ANGPT1
ILMN_2086890	ANGPT1
ILMN_1784292	ANKMY2
ILMN_1716264	ANKRD1
ILMN_1689908	ANKRD13A
ILMN_2232520	ANKRD28
ILMN_2226304	ANKRD50
ILMN_2056002	ANP32AP1
ILMN_1684293	ANP32B
ILMN_2184184	ANXA1
ILMN_1685170	ANXA11
ILMN_2380494	ANXA11
ILMN_1755937	ANXA2
ILMN_1711899	ANXA2
ILMN_2409167	ANXA2
ILMN_1698100	ANXA2P1
ILMN_2098616	ANXA2R
ILMN_1678612	ANXA6
ILMN_1676946	AP3M2
ILMN_1785644	AP5S1
ILMN_1740772	APBB3
ILMN_2320513	APBB3
ILMN_1689431	APCDD1L
ILMN_1862217	APH1B
ILMN_2232478	APOBEC3G
ILMN_1802106	APOBEC3G
ILMN_1756862	APOL3
ILMN_1723522	APOLD1
ILMN_1765076	APPL2
ILMN_1767351	AR
ILMN_1732060	ARHGAP1
ILMN_1736112	ARHGAP10
ILMN_1791186	ARHGAP18
ILMN_1811592	ARHGAP21
ILMN_1676361	ARHGAP22
ILMN_2290204	ARHGAP28
ILMN_1796772	ARHGAP28
ILMN_1754562	ARHGEF17
ILMN_1703477	ARHGEF2
ILMN_1803423	ARHGEF6
ILMN_1797341	ARID1A
ILMN_1721626	ARID5B
ILMN_1813091	ARL1
ILMN_1767642	ARL14EP
ILMN_1769810	ARL6IP5
ILMN_1755732	ARMC9
ILMN_2184064	ARRDC4
ILMN_1660544	ARRDC4
ILMN_1679318	ARSJ
ILMN_2233366	ASAP1
ILMN_1690963	ASAP1
ILMN_1757237	ASAP2
ILMN_3194508	ASAP2
ILMN_3270972	ASAP2
ILMN_1685441	ASAP3
ILMN_1714737	ASF1A
ILMN_2374865	ATF3
ILMN_2381476	ATL1
ILMN_1654065	ATOH8
ILMN_1687375	ATP2A2
ILMN_2401933	ATP2B1
ILMN_2367753	ATP2B4
ILMN_1680579	ATP2B4
ILMN_1664772	ATP2B4
ILMN_1696568	ATP2C1
ILMN_2153332	ATXN1
ILMN_1800951	ATXN1
ILMN_1743829	ATXN2
ILMN_2325347	B3GALNT1
ILMN_1711102	B3GNT2
ILMN_1753755	B4GALT2
ILMN_1663541	B4GALT7
ILMN_1687751	BAALC
ILMN_3244893	BAG2
ILMN_1690241	BATF2
ILMN_1720850	BAZ2B
ILMN_1767612	BBS2
ILMN_2230035	BBS2
ILMN_1763638	BCAR3
ILMN_1766169	BCAT1
ILMN_1710514	BCL3
ILMN_1737314	BCL6
ILMN_1743966	BCL9L
ILMN_1775192	BCLAF1
ILMN_2357272	BCLAF1
ILMN_1751276	BDNF
ILMN_2375032	BEND3
ILMN_1706969	BEND6
ILMN_2234697	BEX1
ILMN_1805826	BIVM
ILMN_2214098	BIVM
ILMN_3307916	BMPER
ILMN_1656373	BNC2
ILMN_2045419	BNIP3L
ILMN_1718961	BNIP3L
ILMN_1657746	BPHL
ILMN_1804498	BRAT1
ILMN_1723480	BST2
ILMN_3238274	BTBD2
ILMN_1759359	BTF3L4
ILMN_2072140	BTF3L4
ILMN_1775743	BTG1
ILMN_1707339	BTG3
ILMN_2159300	C10orf114
ILMN_1662470	C10orf35
ILMN_1757847	C11orf68
ILMN_1804611	C12orf23
ILMN_1737818	C12orf43
ILMN_1713744	C14orf132
ILMN_1686082	C14orf79
ILMN_1747217	C15orf41
ILMN_1805410	C15orf48
ILMN_1775330	C15orf52
ILMN_1711823	C17orf70
ILMN_3247139	C17orf96
ILMN_1713803	C17orf97
ILMN_1707137	C17orf97
ILMN_1719097	C18orf8
ILMN_1750400	C19orf66
ILMN_1754894	C1orf162
ILMN_1657683	C1orf198
ILMN_3307877	C21orf58
ILMN_1682572	C2CD5
ILMN_1694470	C3orf72
ILMN_1677292	C5orf30
ILMN_1740903	C7orf49
ILMN_1718336	C7orf50
ILMN_1656369	C8orf4
ILMN_1764320	C8orf58
ILMN_1674629	C9orf3
ILMN_1665547	CADPS
ILMN_1748840	CALB2
ILMN_1717990	CALD1
ILMN_2324002	CALD1
ILMN_1766200	CALHM2
ILMN_1687858	CALM2
ILMN_1666385	CALM3
ILMN_1809695	CAMK2G
ILMN_1794863	CAMK2N1
ILMN_1691237	CAP2
ILMN_1716057	CAPN2
ILMN_1782897	CAPRIN1
ILMN_1712532	CARD9
ILMN_1809477	CARHSP1
ILMN_1680134	CARM1
ILMN_2326509	CASP1
ILMN_2326512	CASP1
ILMN_2373763	CASP7
ILMN_2151739	CAT
ILMN_2149226	CAV1
ILMN_1687583	CAV1
ILMN_1658835	CAV2
ILMN_1685580	CBLB
ILMN_1813400	CBR4
ILMN_1677239	CCDC14
ILMN_1662318	CCDC59
ILMN_1803338	CCDC80
ILMN_1715662	CCDC80
ILMN_1669982	CCDC85A
ILMN_1720048	CCL2
ILMN_2098126	CCL5
ILMN_1773352	CCL5
ILMN_1772964	CCL8
ILMN_2374425	CCNE1
ILMN_2384785	CCNE1
ILMN_1795852	CCNE1
ILMN_2228732	CCNG2
ILMN_2261784	CCNY
ILMN_1773992	CCRL1
ILMN_1726589	CD248
ILMN_1803429	CD44
ILMN_2348788	CD44
ILMN_1724789	CD59
ILMN_2256765	CDC16
ILMN_2339796	CDC16
ILMN_2338323	CDC25B
ILMN_1764927	CDC42EP1
ILMN_1652777	CDC42EP2
ILMN_1736327	CDC42EP3
ILMN_1737184	CDCA7
ILMN_1672611	CDH11
ILMN_1779228	CDH2
ILMN_1766675	CDH6
ILMN_1730928	CDK5R1
ILMN_3307950	CDK5RAP3
ILMN_1802615	CDK6
ILMN_1784602	CDKN1A
ILMN_2196347	CDKN1B
ILMN_1722811	CDKN1B
ILMN_2376723	CDKN2B
ILMN_2234187	CDO1
ILMN_1693014	CEBPB
ILMN_1782050	CEBPD
ILMN_1734176	CGA
ILMN_2387090	CGGBP1
ILMN_1730229	CGNL1
ILMN_1741021	CH25H
ILMN_1658411	CHD4
ILMN_1762972	CHD9
ILMN_2395240	CHEK2
ILMN_1763265	CHMP1B
ILMN_1678493	CHN1
ILMN_1776337	CHORDC1
ILMN_1674661	CIRBP
ILMN_1663092	CITED2
ILMN_1754103	CLDN11
ILMN_1725338	CLDN23
ILMN_2142185	CLEC14A
ILMN_1796423	CLIC3
ILMN_2404085	CLIP1
ILMN_1789733	CLIP3
ILMN_1689400	CLK1
ILMN_1695853	CLK4
ILMN_1656248	CLMP
ILMN_1709634	CMBL
ILMN_1783621	CMPK2
ILMN_1710124	CMTM8
ILMN_1770290	CNN2
ILMN_1708486	CNN2
ILMN_1782439	CNN3
ILMN_2252408	CNPY4
ILMN_3232894	CNRIP1
ILMN_2182148	CNRIP1
ILMN_1692398	CNTNAP1
ILMN_1683065	COA5
ILMN_1761260	COBLL1
ILMN_1789507	COL11A1
ILMN_2392803	COL11A1
ILMN_1733756	COL12A1
ILMN_1684554	COL16A1
ILMN_1706505	COL5A1
ILMN_1729117	COL5A2
ILMN_1706643	COL6A3
ILMN_2307861	COL6A3
ILMN_1751161	COL7A1
ILMN_1685433	COL8A1
ILMN_2402392	COL8A1
ILMN_1677636	COMP
ILMN_1745954	CORO1C
ILMN_1654545	CPSF1
ILMN_1690170	CRABP2
ILMN_1841334	CREB1
ILMN_1751097	CREB3L2
ILMN_1731714	CREB5
ILMN_1694432	CRIP2
ILMN_2140700	CRIPAK
ILMN_1729216	CRYAB
ILMN_1762115	CRYZL1
ILMN_2119692	CSAD
ILMN_1806787	CSDC2
ILMN_1775432	CSMD2
ILMN_1706521	CSNK1G2
ILMN_1723843	CSNK2A2
ILMN_1666894	CSPG4
ILMN_1811921	CSRP1
ILMN_3250209	CTBP2
ILMN_1728163	CTDSP1
ILMN_1692962	CTDSP2
ILMN_2392189	CTDSPL
ILMN_2117508	CTHRC1
ILMN_2359742	CTSB
ILMN_1696360	CTSB
ILMN_1759766	CTXN1
ILMN_1676665	CUEDC1
ILMN_2385161	CUL4B
ILMN_1765044	CUTC
ILMN_1791759	CXCL10
ILMN_2067890	CXCL11
ILMN_1803825	CXCL12
ILMN_1791447	CXCL12
ILMN_1728478	CXCL16
ILMN_1798360	CXCR7
ILMN_3307729	CXXC5
ILMN_1745256	CXXC5
ILMN_1693338	CYP1B1
ILMN_2160727	CYTH3
ILMN_2206272	D2HGDH
ILMN_1752668	DAAM2
ILMN_2128428	DAB2
ILMN_1764228	DAB2
ILMN_2328094	DACT1
ILMN_1801068	DACT1
ILMN_1733851	DACT3
ILMN_1676191	DARS2
ILMN_1769926	DBN1
ILMN_1698307	DBNL
ILMN_1670000	DCAF6
ILMN_1811648	DCAKD
ILMN_1695604	DCBLD1
ILMN_2174127	DCBLD2
ILMN_1735499	DCBLD2
ILMN_2407434	DCLK2
ILMN_1719449	DCLK2
