"PROBE_ID"	"SYMBOL"	"alt_Symbol"	"1.AVG_Signal"	"1.Detection.Pval"	"1.NARRAYS"	"1.ARRAY_STDEV"	"1.BEAD_STDERR"	"1.Avg_NBEADS"	"2.AVG_Signal"	"2.Detection.Pval"	"2.NARRAYS"	"2.ARRAY_STDEV"	"2.BEAD_STDERR"	"2.Avg_NBEADS"	"3.AVG_Signal"	"3.Detection.Pval"	"3.NARRAYS"	"3.ARRAY_STDEV"	"3.BEAD_STDERR"	"3.Avg_NBEADS"	"4.AVG_Signal"	"4.Detection.Pval"	"4.NARRAYS"	"4.ARRAY_STDEV"	"4.BEAD_STDERR"	"4.Avg_NBEADS"	"5.AVG_Signal"	"5.Detection.Pval"	"5.NARRAYS"	"5.ARRAY_STDEV"	"5.BEAD_STDERR"	"5.Avg_NBEADS"	"6.AVG_Signal"	"6.Detection.Pval"	"6.NARRAYS"	"6.ARRAY_STDEV"	"6.BEAD_STDERR"	"6.Avg_NBEADS"	"7.AVG_Signal"	"7.Detection.Pval"	"7.NARRAYS"	"7.ARRAY_STDEV"	"7.BEAD_STDERR"	"7.Avg_NBEADS"	"8.AVG_Signal"	"8.Detection.Pval"	"8.NARRAYS"	"8.ARRAY_STDEV"	"8.BEAD_STDERR"	"8.Avg_NBEADS"	"9.AVG_Signal"	"9.Detection.Pval"	"9.NARRAYS"	"9.ARRAY_STDEV"	"9.BEAD_STDERR"	"9.Avg_NBEADS"	"10.AVG_Signal"	"10.Detection.Pval"	"10.NARRAYS"	"10.ARRAY_STDEV"	"10.BEAD_STDERR"	"10.Avg_NBEADS"	"11.AVG_Signal"	"11.Detection.Pval"	"11.NARRAYS"	"11.ARRAY_STDEV"	"11.BEAD_STDERR"	"11.Avg_NBEADS"	"12.AVG_Signal"	"12.Detection.Pval"	"12.NARRAYS"	"12.ARRAY_STDEV"	"12.BEAD_STDERR"	"12.Avg_NBEADS"	"13.AVG_Signal"	"13.Detection.Pval"	"13.NARRAYS"	"13.ARRAY_STDEV"	"13.BEAD_STDERR"	"13.Avg_NBEADS"	"14.AVG_Signal"	"14.Detection.Pval"	"14.NARRAYS"	"14.ARRAY_STDEV"	"14.BEAD_STDERR"	"14.Avg_NBEADS"	"15.AVG_Signal"	"15.Detection.Pval"	"15.NARRAYS"	"15.ARRAY_STDEV"	"15.BEAD_STDERR"	"15.Avg_NBEADS"
"1"	"ILMN_1763000"	"ADAP2"	"ADAP2"	83.08013	0.5987013	1	NA	5.05855	29	85.89273	0.5285714	1	NA	4.053238	38	97.84531	0.1766234	1	NA	3.933971	36	223.8454	0	1	NA	6.700643	26	234.4905	0	1	NA	12.00053	27	61.04752	0.8428571	1	NA	2.659379	19	69.99234	0.5155844	1	NA	5.35372	20	92.78773	0.02987013	1	NA	6.119382	26	196.5566	0	1	NA	7.345411	30	191.6909	0	1	NA	9.184889	32	56.64144	0.8181818	1	NA	3.674953	23	73.1481	0.2233766	1	NA	4.358425	40	92.87211	0.01168831	1	NA	5.663686	27	229.469	0	1	NA	14.88761	20	216.5587	0	1	NA	11.52692	23
"2"	"ILMN_2269136"	"AGAP3"	"AGAP3"	349.9655	0	1	NA	18.84003	22	233.9341	0	1	NA	15.12357	18	254.2185	0	1	NA	14.96773	18	168.1168	0	1	NA	11.81671	23	229.433	0	1	NA	12.51338	21	308.2646	0	1	NA	13.08568	22	220.0882	0	1	NA	12.75056	18	266.3729	0	1	NA	19.70337	25	144.3001	0	1	NA	9.105636	23	152.3837	0	1	NA	8.079575	23	374.5061	0	1	NA	18.7734	27	245.14	0	1	NA	12.25282	21	263.8176	0	1	NA	18.50314	21	150.5786	0	1	NA	11.37591	24	202.0215	0	1	NA	15.77118	20
"3"	"ILMN_3242883"	"AGAP8"	"AGAP8"	392.2445	0	1	NA	17.48927	24	400.4031	0	1	NA	23.14038	27	475.0219	0	1	NA	20.74279	22	229.2851	0	1	NA	9.808608	24	312.7678	0	1	NA	18.29917	20	371.6669	0	1	NA	17.37524	28	344.2074	0	1	NA	16.62017	25	448.3972	0	1	NA	25.21626	18	197.5132	0	1	NA	17.08811	21	232.6929	0	1	NA	12.29705	14	399.2189	0	1	NA	24.22267	23	468.0885	0	1	NA	27.59701	18	427.0832	0	1	NA	18.2763	25	232.6627	0	1	NA	18.69644	15	242.1729	0	1	NA	14.97156	18
"4"	"ILMN_3260345"	"AGFG1"	"AGFG1"	221.3741	0	1	NA	11.32772	24	187.6635	0	1	NA	12.63891	25	203.5533	0	1	NA	9.876635	22	138.8003	0.001298701	1	NA	6.400957	30	144.6651	0.001298701	1	NA	8.045304	30	213.0014	0	1	NA	9.593091	30	176.4058	0	1	NA	10.76571	24	184.4666	0	1	NA	10.77244	34	108.6646	0	1	NA	5.71471	21	124.0984	0	1	NA	6.006697	26	288.4615	0	1	NA	16.74164	23	168.0648	0	1	NA	10.59959	27	209.9635	0	1	NA	12.91757	22	156.9126	0	1	NA	13.21213	19	126.7059	0	1	NA	5.883291	24
"5"	"ILMN_1685834"	"AMPH"	"AMPH"	293.6124	0	1	NA	13.87382	19	220.9337	0	1	NA	12.8513	23	197.1736	0	1	NA	11.44613	16	116.5525	0.003896104	1	NA	6.887496	25	151.6171	0.001298701	1	NA	11.33512	15	238.1695	0	1	NA	15.26662	17	205.7155	0	1	NA	11.91676	21	208.8956	0	1	NA	11.71108	23	128.9889	0	1	NA	7.086591	28	148.4485	0	1	NA	8.860522	27	275.3132	0	1	NA	11.49601	24	227.4795	0	1	NA	13.10747	24	197.7164	0	1	NA	9.990278	22	90.0096	0.005194805	1	NA	3.815773	14	134.2231	0	1	NA	6.23547	26
"6"	"ILMN_1754738"	"AP1M1"	"AP1M1"	733.6852	0	1	NA	31.50233	22	605.46	0	1	NA	33.31315	17	555.2045	0	1	NA	26.56811	20	406.9335	0	1	NA	14.85152	26	496.7173	0	1	NA	26.20682	26	712.9814	0	1	NA	41.65472	22	573.2745	0	1	NA	38.25518	20	640.7775	0	1	NA	20.92936	20	349.9447	0	1	NA	13.28584	17	317.8833	0	1	NA	17.54568	14	776.5211	0	1	NA	43.064	22	682.9119	0	1	NA	32.17635	25	704.6563	0	1	NA	40.51612	19	406.4261	0	1	NA	24.26997	20	416.0373	0	1	NA	20.04176	15
"7"	"ILMN_2120273"	"AP1S2"	"AP1S2"	654.7762	0	1	NA	56.01059	13	691.8547	0	1	NA	46.3784	15	713.3518	0	1	NA	35.38197	20	437.0679	0	1	NA	21.79497	25	504.5124	0	1	NA	32.87412	16	593.0211	0	1	NA	22.51643	22	614.0766	0	1	NA	19.38382	15	748.9002	0	1	NA	30.1832	23	360.9653	0	1	NA	17.50511	24	376.4658	0	1	NA	11.4274	21	813.8879	0	1	NA	36.88543	22	602.2136	0	1	NA	29.38427	18	784.687	0	1	NA	32.90724	29	375.5747	0	1	NA	19.02243	22	451.9541	0	1	NA	23.74039	21
"8"	"ILMN_2402798"	"AP2M1"	"AP2M1"	2405.251	0	1	NA	88.7918	30	1473.434	0	1	NA	73.42259	42	1334.434	0	1	NA	69.44185	18	733.3859	0	1	NA	30.10164	27	993.5565	0	1	NA	41.758	26	1445.312	0	1	NA	73.21761	19	1266.406	0	1	NA	48.42307	25	1264.942	0	1	NA	38.51093	32	718.2458	0	1	NA	39.49263	21	793.3898	0	1	NA	40.97639	27	1988.327	0	1	NA	50.0846	15	1453.576	0	1	NA	58.79372	20	1330.883	0	1	NA	58.84579	24	651.7225	0	1	NA	27.6659	21	816.9893	0	1	NA	54.15843	25
"9"	"ILMN_1699598"	"AP2M1"	"AP2M1"	1612.647	0	1	NA	106.4763	18	1353.7	0	1	NA	127.5058	10	1195.301	0	1	NA	75.00082	16	690.816	0	1	NA	42.29469	25	1036.126	0	1	NA	56.60804	20	1523.063	0	1	NA	79.31359	17	1203.053	0	1	NA	86.61327	19	1352.627	0	1	NA	60.14149	25	715.9946	0	1	NA	56.24111	11	728.7225	0	1	NA	60.27136	18	1975.416	0	1	NA	145.1091	18	1221.877	0	1	NA	83.65165	17	1323.722	0	1	NA	73.97442	24	686.4836	0	1	NA	63.04707	13	782.0517	0	1	NA	51.45613	21
"10"	"ILMN_1809957"	"AP2S1"	"AP2S1"	10648.75	0	1	NA	549.9815	16	8466.254	0	1	NA	259.1145	44	9608.063	0	1	NA	389.3555	26	5422.731	0	1	NA	228.0579	25	7039.496	0	1	NA	265.4984	30	8949.791	0	1	NA	273.2114	28	7429.229	0	1	NA	185.2528	38	9003.809	0	1	NA	295.5641	30	5305.515	0	1	NA	182.6101	33	5156.609	0	1	NA	212.5768	20	10538.8	0	1	NA	360.0749	22	8198.849	0	1	NA	386.5925	27	8611.348	0	1	NA	272.0733	33	5008.375	0	1	NA	156.4076	36	5944.137	0	1	NA	215.4236	24
