"PROBE_ID"	"Symbol"
"1"	"ILMN_1735038"	"3-Mar"
"2"	"ILMN_1789991"	"4-Mar"
"3"	"ILMN_1897741"	"6-Mar"
"4"	"ILMN_1746673"	"3-Sep"
"5"	"ILMN_1776157"	"4-Sep"
"6"	"ILMN_1789627"	"5-Sep"
"7"	"ILMN_1769118"	"9-Sep"
"8"	"ILMN_1788778"	"11-Sep"
"9"	"ILMN_1886719"	"11-Sep"
"10"	"ILMN_1721225"	"AAR2"
"11"	"ILMN_1662364"	"AARS"
"12"	"ILMN_1766054"	"ABCA1"
"13"	"ILMN_1677814"	"ABCC3"
"14"	"ILMN_2392635"	"ABCF1"
"15"	"ILMN_2284941"	"ABCF2"
"16"	"ILMN_1745116"	"ABHD12"
"17"	"ILMN_1801767"	"ABHD3"
"18"	"ILMN_1655702"	"ABHD5"
"19"	"ILMN_1713732"	"ABL1"
"20"	"ILMN_1656940"	"ABLIM3"
"21"	"ILMN_1802096"	"ABTB1"
"22"	"ILMN_1772123"	"ACACA"
"23"	"ILMN_1761058"	"ACAD11"
"24"	"ILMN_2225595"	"ACAD8"
"25"	"ILMN_1812552"	"ACER3"
"26"	"ILMN_3237774"	"ACER3"
"27"	"ILMN_2371379"	"ACLY"
"28"	"ILMN_1750800"	"ACO1"
"29"	"ILMN_1654861"	"ACO2"
"30"	"ILMN_1764321"	"ACOT4"
"31"	"ILMN_2332250"	"ACOT7"
"32"	"ILMN_1685703"	"ACOX2"
"33"	"ILMN_1684585"	"ACSL1"
"34"	"ILMN_1666096"	"ACSL3"
"35"	"ILMN_1704961"	"ACTG1"
"36"	"ILMN_3236904"	"ACTG1P4"
"37"	"ILMN_2232177"	"ACTN1"
"38"	"ILMN_1725534"	"ACTN4"
"39"	"ILMN_1657153"	"ACTR3"
"40"	"ILMN_1782810"	"ACTRT3"
"41"	"ILMN_2152711"	"ACVR2A"
"42"	"ILMN_1670912"	"ACVR2A"
"43"	"ILMN_3250257"	"ACVRL1"
"44"	"ILMN_2158705"	"ACYP2"
"45"	"ILMN_1673566"	"ADAMTS1"
"46"	"ILMN_1681886"	"ADAMTS5"
"47"	"ILMN_2047511"	"ADAP1"
"48"	"ILMN_3247424"	"ADAP1"
"49"	"ILMN_2320964"	"ADAR"
"50"	"ILMN_1776777"	"ADAR"
"51"	"ILMN_1654287"	"ADCY9"
"52"	"ILMN_1814526"	"ADD3"
"53"	"ILMN_1738604"	"ADH5"
"54"	"ILMN_1688322"	"ADIPOR1"
"55"	"ILMN_2224833"	"ADIPOR2"
"56"	"ILMN_1708934"	"ADM"
"57"	"ILMN_1811480"	"ADPRHL2"
"58"	"ILMN_1702526"	"ADPRM"
"59"	"ILMN_2092664"	"ADSS"
"60"	"ILMN_1775235"	"AFF3"
"61"	"ILMN_2402766"	"AFTPH"
"62"	"ILMN_1747504"	"AHCTF1"
"63"	"ILMN_1714567"	"AHNAK"
"64"	"ILMN_1703617"	"AHSA1"
"65"	"ILMN_3246401"	"AIF1L"
"66"	"ILMN_1770725"	"AIF1L"
"67"	"ILMN_1673252"	"AIMP2"
"68"	"ILMN_1687275"	"AJUBA"
"69"	"ILMN_2396956"	"AKAP13"
"70"	"ILMN_2117716"	"AKAP17A"
"71"	"ILMN_1807737"	"AKAP17A"
"72"	"ILMN_1768962"	"AKAP8L"
"73"	"ILMN_2359029"	"AKIP1"
"74"	"ILMN_1658337"	"AKIRIN1"
"75"	"ILMN_1802799"	"AKIRIN1"
"76"	"ILMN_1770673"	"AKNA"
"77"	"ILMN_1670870"	"ALCAM"
