"PROBE_ID"	"Symbol"
"1"	"ILMN_1789991"	"4-Mar"
"2"	"ILMN_1897741"	"6-Mar"
"3"	"ILMN_1769118"	"9-Sep"
"4"	"ILMN_1788778"	"11-Sep"
"5"	"ILMN_1662364"	"AARS"
"6"	"ILMN_1677814"	"ABCC3"
"7"	"ILMN_1801767"	"ABHD3"
"8"	"ILMN_1713732"	"ABL1"
"9"	"ILMN_1772123"	"ACACA"
"10"	"ILMN_1761058"	"ACAD11"
"11"	"ILMN_1806408"	"ACADVL"
"12"	"ILMN_2371379"	"ACLY"
"13"	"ILMN_1704961"	"ACTG1"
"14"	"ILMN_3236904"	"ACTG1P4"
"15"	"ILMN_2232177"	"ACTN1"
"16"	"ILMN_1657153"	"ACTR3"
"17"	"ILMN_2152711"	"ACVR2A"
"18"	"ILMN_3250257"	"ACVRL1"
"19"	"ILMN_1673566"	"ADAMTS1"
"20"	"ILMN_1681886"	"ADAMTS5"
"21"	"ILMN_2047511"	"ADAP1"
"22"	"ILMN_2320964"	"ADAR"
"23"	"ILMN_1814526"	"ADD3"
"24"	"ILMN_2311278"	"ADD3"
"25"	"ILMN_1702933"	"ADM2"
"26"	"ILMN_1775235"	"AFF3"
"27"	"ILMN_1714567"	"AHNAK"
"28"	"ILMN_3246401"	"AIF1L"
"29"	"ILMN_1673252"	"AIMP2"
"30"	"ILMN_1687275"	"AJUBA"
"31"	"ILMN_2396956"	"AKAP13"
"32"	"ILMN_1670870"	"ALCAM"
"33"	"ILMN_1709348"	"ALDH1A1"
"34"	"ILMN_2096372"	"ALDH1A1"
"35"	"ILMN_2150894"	"ALDH1B1"
"36"	"ILMN_1728662"	"ALDH3B1"
"37"	"ILMN_1763461"	"ALDH7A1"
"38"	"ILMN_1687508"	"ALDH7A1"
"39"	"ILMN_1761804"	"ALDH9A1"
"40"	"ILMN_1811238"	"ALPK2"
"41"	"ILMN_2294762"	"AMY1A"
"42"	"ILMN_1726327"	"AMY1B"
"43"	"ILMN_1663313"	"AMY1C"
"44"	"ILMN_1801606"	"AMZ2"
"45"	"ILMN_1677723"	"ANGPT1"
"46"	"ILMN_2086890"	"ANGPT1"
"47"	"ILMN_1716264"	"ANKRD1"
"48"	"ILMN_1689908"	"ANKRD13A"
"49"	"ILMN_2232520"	"ANKRD28"
"50"	"ILMN_2226304"	"ANKRD50"
"51"	"ILMN_1684293"	"ANP32B"
"52"	"ILMN_2184184"	"ANXA1"
"53"	"ILMN_1755937"	"ANXA2"
"54"	"ILMN_1711899"	"ANXA2"
"55"	"ILMN_2409167"	"ANXA2"
"56"	"ILMN_1698100"	"ANXA2P1"
"57"	"ILMN_1678612"	"ANXA6"
"58"	"ILMN_1676946"	"AP3M2"
"59"	"ILMN_1785644"	"AP5S1"
"60"	"ILMN_1740772"	"APBB3"
"61"	"ILMN_2320513"	"APBB3"
"62"	"ILMN_1689431"	"APCDD1L"
"63"	"ILMN_1723522"	"APOLD1"
"64"	"ILMN_1765076"	"APPL2"
"65"	"ILMN_1767351"	"AR"
"66"	"ILMN_1732060"	"ARHGAP1"
"67"	"ILMN_1791186"	"ARHGAP18"
"68"	"ILMN_1811592"	"ARHGAP21"
"69"	"ILMN_1676361"	"ARHGAP22"
"70"	"ILMN_2290204"	"ARHGAP28"
"71"	"ILMN_1796772"	"ARHGAP28"
"72"	"ILMN_1754562"	"ARHGEF17"
"73"	"ILMN_1703477"	"ARHGEF2"
"74"	"ILMN_1803423"	"ARHGEF6"
"75"	"ILMN_1797341"	"ARID1A"
"76"	"ILMN_1721626"	"ARID5B"
"77"	"ILMN_1813091"	"ARL1"
"78"	"ILMN_1767642"	"ARL14EP"
"79"	"ILMN_1769810"	"ARL6IP5"
"80"	"ILMN_1755732"	"ARMC9"
"81"	"ILMN_2184064"	"ARRDC4"
"82"	"ILMN_1679318"	"ARSJ"
"83"	"ILMN_2233366"	"ASAP1"
"84"	"ILMN_1690963"	"ASAP1"
"85"	"ILMN_1757237"	"ASAP2"
"86"	"ILMN_3194508"	"ASAP2"
"87"	"ILMN_3270972"	"ASAP2"
"88"	"ILMN_1685441"	"ASAP3"
"89"	"ILMN_1714737"	"ASF1A"
"90"	"ILMN_2374865"	"ATF3"
