"PROBE_ID"	"Symbol"
"1"	"ILMN_1789991"	"4-Mar"
"2"	"ILMN_1897741"	"6-Mar"
"3"	"ILMN_1769118"	"9-Sep"
"4"	"ILMN_1788778"	"11-Sep"
"5"	"ILMN_1662364"	"AARS"
"6"	"ILMN_1766054"	"ABCA1"
"7"	"ILMN_1677814"	"ABCC3"
"8"	"ILMN_1651964"	"ABCC5"
"9"	"ILMN_1801767"	"ABHD3"
"10"	"ILMN_1713732"	"ABL1"
"11"	"ILMN_1802096"	"ABTB1"
"12"	"ILMN_1772123"	"ACACA"
"13"	"ILMN_1761058"	"ACAD11"
"14"	"ILMN_1806408"	"ACADVL"
"15"	"ILMN_2371379"	"ACLY"
"16"	"ILMN_1750800"	"ACO1"
"17"	"ILMN_1704961"	"ACTG1"
"18"	"ILMN_3236904"	"ACTG1P4"
"19"	"ILMN_2232177"	"ACTN1"
"20"	"ILMN_1657153"	"ACTR3"
"21"	"ILMN_2152711"	"ACVR2A"
"22"	"ILMN_3250257"	"ACVRL1"
"23"	"ILMN_1673566"	"ADAMTS1"
"24"	"ILMN_1681886"	"ADAMTS5"
"25"	"ILMN_2047511"	"ADAP1"
"26"	"ILMN_3247424"	"ADAP1"
"27"	"ILMN_2320964"	"ADAR"
"28"	"ILMN_1814526"	"ADD3"
"29"	"ILMN_2311278"	"ADD3"
"30"	"ILMN_1708934"	"ADM"
"31"	"ILMN_1702933"	"ADM2"
"32"	"ILMN_1811480"	"ADPRHL2"
"33"	"ILMN_1775235"	"AFF3"
"34"	"ILMN_1730504"	"AGPAT4"
"35"	"ILMN_1714567"	"AHNAK"
"36"	"ILMN_3246401"	"AIF1L"
"37"	"ILMN_1673252"	"AIMP2"
"38"	"ILMN_1687275"	"AJUBA"
"39"	"ILMN_2396956"	"AKAP13"
"40"	"ILMN_1752988"	"AKIP1"
"41"	"ILMN_1770673"	"AKNA"
"42"	"ILMN_1670870"	"ALCAM"
"43"	"ILMN_1709348"	"ALDH1A1"
"44"	"ILMN_2096372"	"ALDH1A1"
"45"	"ILMN_2150894"	"ALDH1B1"
"46"	"ILMN_1728662"	"ALDH3B1"
"47"	"ILMN_1763461"	"ALDH7A1"
"48"	"ILMN_1687508"	"ALDH7A1"
"49"	"ILMN_1761804"	"ALDH9A1"
"50"	"ILMN_1811238"	"ALPK2"
"51"	"ILMN_2294762"	"AMY1A"
"52"	"ILMN_1726327"	"AMY1B"
"53"	"ILMN_1663313"	"AMY1C"
"54"	"ILMN_1801606"	"AMZ2"
"55"	"ILMN_1677723"	"ANGPT1"
"56"	"ILMN_2086890"	"ANGPT1"
"57"	"ILMN_1784292"	"ANKMY2"
"58"	"ILMN_1716264"	"ANKRD1"
"59"	"ILMN_1689908"	"ANKRD13A"
"60"	"ILMN_2232520"	"ANKRD28"
"61"	"ILMN_2226304"	"ANKRD50"
"62"	"ILMN_2056002"	"ANP32AP1"
"63"	"ILMN_1684293"	"ANP32B"
"64"	"ILMN_2184184"	"ANXA1"
"65"	"ILMN_1685170"	"ANXA11"
"66"	"ILMN_2380494"	"ANXA11"
"67"	"ILMN_1755937"	"ANXA2"
"68"	"ILMN_1711899"	"ANXA2"
"69"	"ILMN_2409167"	"ANXA2"
"70"	"ILMN_1698100"	"ANXA2P1"
"71"	"ILMN_2098616"	"ANXA2R"
"72"	"ILMN_1678612"	"ANXA6"
"73"	"ILMN_1676946"	"AP3M2"
"74"	"ILMN_1785644"	"AP5S1"
"75"	"ILMN_1740772"	"APBB3"
"76"	"ILMN_2320513"	"APBB3"
"77"	"ILMN_1689431"	"APCDD1L"
"78"	"ILMN_1862217"	"APH1B"
"79"	"ILMN_2232478"	"APOBEC3G"
"80"	"ILMN_1802106"	"APOBEC3G"
"81"	"ILMN_1756862"	"APOL3"
"82"	"ILMN_1723522"	"APOLD1"
"83"	"ILMN_1765076"	"APPL2"
"84"	"ILMN_1767351"	"AR"
"85"	"ILMN_1732060"	"ARHGAP1"
"86"	"ILMN_1736112"	"ARHGAP10"
"87"	"ILMN_1791186"	"ARHGAP18"
"88"	"ILMN_1811592"	"ARHGAP21"
"89"	"ILMN_1676361"	"ARHGAP22"
"90"	"ILMN_2290204"	"ARHGAP28"
